Head to head statistics:

   1 Sloppy                                             :Removed from calculation
 2) Stockfish                                    1320.0 :   3600 (+3567,=14,-19),  99.3 %

    vs.                                                 :  games (    +,  =,  -),   (%) :    Diff,    SD, CFS (%)
    DCM uni16-9x9stem (latest)                          :    100 (   86,  14,   0),  93.0 :  +421.0,   6.0,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   84,  16,   0),  92.0 :  +432.8,   6.6,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   81,  19,   0),  90.5 :  +443.9,   8.4,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   78,  22,   0),  89.0 :  +444.2,   7.3,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   82,  18,   0),  91.0 :  +446.4,   7.2,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   91,   9,   0),  95.5 :  +509.3,   7.5,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   92,   7,   1),  95.5 :  +510.7,   7.2,  100.0
    DCM freshNet (latest)                               :    100 (   84,  16,   0),  92.0 :  +510.7,   7.2,  100.0

 7) DCM Qeu8 (latest)                             567.1 :   3600 (+2091,=703,-806),  67.8 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    0,   2,  98),   1.0 :  -752.9,  28.5,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   31,  15,  54),  38.5 :   -38.8,   7.4,    0.0
    DCM v5                                              :    100 (   37,  15,  48),  44.5 :   -36.7,   6.7,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   31,  23,  46),  42.5 :   -21.3,   7.2,    0.1
    DCM nT8Y-resume3 (latest)                           :    100 (   41,  21,  38),  51.5 :    -9.8,   6.5,    6.5
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   40,  20,  40),  50.0 :    +5.3,   7.0,   77.3
    DCM Qeu8e3 (latest)                                 :    100 (   44,  19,  37),  53.5 :   +31.6,   6.8,  100.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   45,  22,  33),  56.0 :   +32.8,   6.8,  100.0
    DCM nT8Y-resume4 (latest)                           :    100 (   46,  19,  35),  55.5 :   +35.1,   6.3,  100.0
    DCM - Qeu8e5                                        :    100 (   50,  21,  29),  60.5 :   +39.0,   6.6,  100.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   51,  21,  28),  61.5 :   +41.5,   6.6,  100.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   49,  24,  27),  61.0 :   +42.1,   6.7,  100.0
    DCM Qeu8e4 (latest)                                 :    100 (   43,  21,  36),  53.5 :   +48.7,   7.5,  100.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   47,  20,  33),  57.0 :   +51.7,   6.6,  100.0
    DCM nT8Y-resume2 (latest)                           :    100 (   37,  29,  34),  51.5 :   +60.0,   7.1,  100.0
    DCM Qeu8e2 (latest)                                 :    100 (   51,  22,  27),  62.0 :   +67.6,   6.6,  100.0
    DCM Qeu8e5 (latest)                                 :    100 (   46,  30,  24),  61.0 :   +68.1,   6.0,  100.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   44,  27,  29),  57.5 :   +94.2,   6.0,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   57,  22,  21),  68.0 :  +104.3,   7.3,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   53,  24,  23),  65.0 :  +119.4,   6.9,  100.0
    DCM Qeu8e (latest)                                  :    100 (   64,  19,  17),  73.5 :  +185.1,   7.0,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   69,  22,   9),  80.0 :  +191.1,   6.7,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   61,  26,  13),  74.0 :  +193.0,   6.7,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   64,  27,   9),  77.5 :  +232.7,   6.8,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   67,  25,   8),  79.5 :  +238.5,   6.6,  100.0
    DCM mini-YkKk (latest)                              :    100 (   66,  28,   6),  80.0 :  +261.7,   7.2,  100.0
    DCM T97X (latest)                                   :    100 (   85,  14,   1),  92.0 :  +385.5,   7.0,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   89,  10,   1),  94.0 :  +388.9,   7.2,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   88,  10,   2),  93.0 :  +411.1,   6.8,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   92,   8,   0),  96.0 :  +422.9,   7.3,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   77,  23,   0),  88.5 :  +434.0,   8.5,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   84,  16,   0),  92.0 :  +434.3,   7.9,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   79,  21,   0),  89.5 :  +436.5,   7.8,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   89,  11,   0),  94.5 :  +499.5,   7.8,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   85,  15,   0),  92.5 :  +500.8,   8.1,  100.0
    DCM freshNet (latest)                               :    100 (   89,  11,   0),  94.5 :  +500.8,   8.2,  100.0

 8) DCM mini2b-3MIV-resume3 (latest)              561.8 :   3600 (+2048,=749,-803),  67.3 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    2,   1,  97),   2.5 :  -758.2,  27.4,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   36,  21,  43),  46.5 :   -44.1,   7.8,    0.0
    DCM v5                                              :    100 (   36,  19,  45),  45.5 :   -41.9,   7.8,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   40,  15,  45),  47.5 :   -26.6,   7.6,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   40,  20,  40),  50.0 :   -15.1,   7.0,    1.6
    DCM Qeu8 (latest)                                   :    100 (   40,  20,  40),  50.0 :    -5.3,   7.0,   22.7
    DCM Qeu8e3 (latest)                                 :    100 (   42,  21,  37),  52.5 :   +26.3,   6.9,  100.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   42,  17,  41),  50.5 :   +27.6,   7.2,  100.0
    DCM nT8Y-resume4 (latest)                           :    100 (   40,  23,  37),  51.5 :   +29.9,   6.7,  100.0
    DCM - Qeu8e5                                        :    100 (   48,  22,  30),  59.0 :   +33.8,   6.9,  100.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   36,  24,  40),  48.0 :   +36.3,   7.2,  100.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   52,  26,  22),  65.0 :   +36.8,   7.1,  100.0
    DCM Qeu8e4 (latest)                                 :    100 (   36,  29,  35),  50.5 :   +43.4,   6.5,  100.0
