Head to head statistics:

   1 Sloppy                                             :Removed from calculation
 2) Stockfish                                    1320.0 :   3600 (+3567,=14,-19),  99.3 %

    vs.                                                 :  games (    +,  =,  -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (   0,    0,  100),   0.0 : -1014.6,  27.7,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   5,   19,   76),  14.5 :  -300.5,   8.0,    0.0
    DCM v5                                              :    100 (   6,   18,   76),  15.0 :  -298.4,   7.0,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   4,   24,   72),  16.0 :  -283.0,   7.6,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   3,   29,   68),  17.5 :  -271.5,   6.8,    0.0
    DCM Qeu8 (latest)                                   :    100 (   6,   28,   66),  20.0 :  -261.7,   7.2,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   4,   32,   64),  20.0 :  -256.4,   7.2,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (  14,   29,   57),  28.5 :  -230.1,   6.7,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   7,   29,   64),  21.5 :  -228.8,   7.7,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   8,   35,   57),  25.5 :  -226.6,   6.5,    0.0
    DCM - Qeu8e5                                        :    100 (   9,   21,   70),  19.5 :  -222.6,   7.1,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   1,   31,   68),  16.5 :  -220.2,   6.4,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   6,   37,   57),  24.5 :  -219.6,   6.9,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (   8,   30,   62),  23.0 :  -213.0,   7.0,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (  11,   32,   57),  27.0 :  -210.0,   7.3,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (   9,   34,   57),  26.0 :  -201.7,   7.5,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (   8,   35,   57),  25.5 :  -194.1,   6.2,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (   6,   37,   57),  24.5 :  -193.6,   6.9,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   7,   35,   58),  24.5 :  -167.5,   6.8,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (  10,   44,   46),  32.0 :  -157.4,   6.8,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 (   7,   43,   50),  28.5 :  -142.3,   6.7,    0.0
    DCM Qeu8e (latest)                                  :    100 (  14,   52,   34),  40.0 :   -76.6,   7.3,    0.0
    DCM mini-YkKk-resume (latest)                       :    100 (  17,   51,   32),  42.5 :   -70.6,   7.5,    0.0
    DCM v3_8block_3x3 (latest)                          :    100 (  17,   52,   31),  43.0 :   -68.6,   6.5,    0.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (  16,   59,   25),  45.5 :   -29.0,   7.2,    0.0
    DCM mini2b-3MIV (latest)                            :    100 (  13,   63,   24),  44.5 :   -23.2,   7.3,    0.1
    DCM T97X (latest)                                   :    100 (  35,   65,    0),  67.5 :  +123.8,   7.3,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (  41,   58,    1),  70.0 :  +127.2,   7.3,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (  41,   59,    0),  70.5 :  +149.4,   7.1,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (  44,   56,    0),  72.0 :  +161.2,   6.8,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (  39,   61,    0),  69.5 :  +172.3,   9.0,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (  40,   60,    0),  70.0 :  +172.7,   7.3,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (  40,   60,    0),  70.0 :  +174.8,   7.7,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (  56,   44,    0),  78.0 :  +237.8,   7.1,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (  49,   51,    0),  74.5 :  +239.2,   7.2,  100.0
    DCM freshNet (latest)                               :    100 (  56,   44,    0),  78.0 :  +239.2,   7.8,  100.0

29) DCM T97X (latest)                             181.6 :   3600 (+289,=1302,-2009),  26.1 %

    vs.                                                 :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (   0,    0,  100),   0.0 : -1138.4,  27.5,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   0,   12,   88),   6.0 :  -424.3,   6.9,    0.0
    DCM v5                                              :    100 (   0,   11,   89),   5.5 :  -422.2,   7.3,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   0,   17,   83),   8.5 :  -406.8,   7.2,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   0,   16,   84),   8.0 :  -395.4,   7.1,    0.0
    DCM Qeu8 (latest)                                   :    100 (   1,   14,   85),   8.0 :  -385.5,   7.0,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   1,   15,   84),   8.5 :  -380.2,   7.8,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   0,   22,   78),  11.0 :  -353.9,   6.5,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   0,   15,   85),   7.5 :  -352.7,   7.2,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   2,   12,   86),   8.0 :  -350.4,   7.1,    0.0
    DCM - Qeu8e5                                        :    100 (   0,   28,   72),  14.0 :  -346.5,   6.7,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   2,   26,   72),  15.0 :  -344.0,   6.5,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   0,   29,   71),  14.5 :  -343.4,   7.0,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (   0,   22,   78),  11.0 :  -336.8,   7.7,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   0,   23,   77),  11.5 :  -333.8,   7.4,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (   0,   18,   82),   9.0 :  -325.5,   6.8,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (   1,   15,   84),   8.5 :  -317.9,   7.5,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (   0,   29,   71),  14.5 :  -317.5,   7.3,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   1,   23,   76),  12.5 :  -291.3,   7.0,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (   0,   36,   64),  18.0 :  -281.2,   7.4,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 (   0,   21,   79),  10.5 :  -266.1,   7.3,    0.0
    DCM Qeu8e (latest)                                  :    100 (   1,   40,   59),  21.0 :  -200.4,   6.6,    0.0
    DCM mini-YkKk-resume (latest)                       :    100 (   2,   52,   46),  28.0 :  -194.4,   6.8,    0.0
    DCM v3_8block_3x3 (latest)                          :    100 (   1,   45,   54),  23.5 :  -192.5,   7.2,    0.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   0,   45,   55),  22.5 :  -152.8,   6.8,    0.0
    DCM mini2b-3MIV (latest)                            :    100 (   1,   54,   45),  28.0 :  -147.0,   7.6,    0.0
    DCM mini-YkKk (latest)                              :    100 (   0,   65,   35),  32.5 :  -123.8,   7.3,    0.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (  16,   73,   11),  52.5 :    +3.4,   6.7,   69.4
    DCM uni16-9x9stem (latest)                          :    100 (  20,   73,    7),  56.5 :   +25.6,   6.7,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (  37,   59,    4),  66.5 :   +37.4,   6.9,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (  30,   70,    0),  65.0 :   +48.5,   7.9,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (  36,   63,    1),  67.5 :   +48.8,   7.2,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (  41,   57,    2),  69.5 :   +51.0,   8.3,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (  30,   68,    2),  64.0 :  +114.0,   7.4,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (  35,   65,    0),  67.5 :  +115.3,   7.9,  100.0
    DCM freshNet (latest)                               :    100 (  31,   69,    0),  65.5 :  +115.3,   7.2,  100.0

30) DCM Early 2 - 373k-step 8-block v3 May25-29   178.2 :   3638 (+348,=1168,-2122),  25.6 %

    vs.                                                 :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (   0,    0,  100),   0.0 : -1141.8,  27.4,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    138 (   0,   19,  119),   6.9 :  -427.7,   7.1,    0.0
    DCM v5                                              :    100 (   0,   13,   87),   6.5 :  -425.6,   7.0,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   0,   15,   85),   7.5 :  -410.2,   7.4,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   0,   16,   84),   8.0 :  -398.7,   6.4,    0.0
    DCM Qeu8 (latest)                                   :    100 (   1,   10,   89),   6.0 :  -388.9,   7.2,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   0,   17,   83),   8.5 :  -383.6,   6.9,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   0,   19,   81),   9.5 :  -357.3,   5.9,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   0,   21,   79),  10.5 :  -356.0,   6.0,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   0,   14,   86),   7.0 :  -353.8,   7.3,    0.0
    DCM - Qeu8e5                                        :    100 (   0,   20,   80),  10.0 :  -349.8,   6.0,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   0,   15,   85),   7.5 :  -347.4,   6.7,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   0,   19,   81),   9.5 :  -346.8,   6.3,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (   0,   21,   79),  10.5 :  -340.2,   7.2,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   0,   19,   81),   9.5 :  -337.2,   7.0,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (   0,   19,   81),   9.5 :  -328.9,   7.5,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (   0,   20,   80),  10.0 :  -321.3,   6.6,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (   1,   21,   78),  11.5 :  -320.8,   6.4,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   0,   23,   77),  11.5 :  -294.7,   6.6,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (   0,   17,   83),   8.5 :  -284.6,   6.9,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 (   1,   22,   77),  12.0 :  -269.5,   6.4,    0.0
    DCM Qeu8e (latest)                                  :    100 (   0,   45,   55),  22.5 :  -203.8,   7.2,    0.0
    DCM mini-YkKk-resume (latest)                       :    100 (   1,   44,   55),  23.0 :  -197.8,   6.7,    0.0
    DCM v3_8block_3x3 (latest)                          :    100 (   1,   45,   54),  23.5 :  -195.8,   6.6,    0.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   0,   45,   55),  22.5 :  -156.2,   6.3,    0.0
    DCM mini2b-3MIV (latest)                            :    100 (   0,   48,   52),  24.0 :  -150.4,   6.5,    0.0
    DCM mini-YkKk (latest)                              :    100 (   1,   58,   41),  30.0 :  -127.2,   7.3,    0.0
    DCM T97X (latest)                                   :    100 (  11,   73,   16),  47.5 :    -3.4,   6.7,   30.6
    DCM uni16-9x9stem (latest)                          :    100 (  33,   54,   13),  60.0 :   +22.2,   6.6,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (  56,   41,    3),  76.5 :   +34.0,   6.6,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (  40,   59,    1),  69.5 :   +45.1,   8.3,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (  31,   69,    0),  65.5 :   +45.5,   6.4,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (  38,   62,    0),  69.0 :   +47.6,   6.9,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (  34,   65,    1),  66.5 :  +110.6,   7.1,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (  54,   46,    0),  77.0 :  +112.0,   7.3,  100.0
    DCM freshNet (latest)                               :    100 (  45,   54,    1),  72.0 :  +112.0,   6.3,  100.0

31) DCM uni16-9x9stem (latest)                    156.0 :   3600 (+299,=1118,-2183),  23.8 %

    vs.                                                 :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (   0,    0,  100),   0.0 : -1164.0,  28.3,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   0,   10,   90),   5.0 :  -449.9,   7.7,    0.0
    DCM v5                                              :    100 (   0,    9,   91),   4.5 :  -447.8,   8.0,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   0,    7,   93),   3.5 :  -432.4,   6.8,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   0,   14,   86),   7.0 :  -421.0,   6.0,    0.0
    DCM Qeu8 (latest)                                   :    100 (   2,   10,   88),   7.0 :  -411.1,   6.8,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   0,   14,   86),   7.0 :  -405.9,   7.1,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   1,   16,   83),   9.0 :  -379.5,   6.6,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   0,   23,   77),  11.5 :  -378.3,   7.4,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   0,   11,   89),   5.5 :  -376.0,   7.1,    0.0
    DCM - Qeu8e5                                        :    100 (   0,   19,   81),   9.5 :  -372.1,   6.8,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   0,   16,   84),   8.0 :  -369.6,   7.3,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   0,   15,   85),   7.5 :  -369.1,   6.5,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (   0,   11,   89),   5.5 :  -362.4,   7.1,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   0,   21,   79),  10.5 :  -359.4,   6.9,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (   0,   11,   89),   5.5 :  -351.1,   7.4,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (   0,   20,   80),  10.0 :  -343.6,   6.1,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (   0,   31,   69),  15.5 :  -343.1,   6.8,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   1,   27,   72),  14.5 :  -316.9,   6.7,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (   0,   23,   77),  11.5 :  -306.8,   7.1,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 (   1,   25,   74),  13.5 :  -291.7,   7.0,    0.0
    DCM Qeu8e (latest)                                  :    100 (   0,   28,   72),  14.0 :  -226.0,   6.8,    0.0
    DCM mini-YkKk-resume (latest)                       :    100 (   0,   33,   67),  16.5 :  -220.0,   6.8,    0.0
    DCM v3_8block_3x3 (latest)                          :    100 (   0,   41,   59),  20.5 :  -218.1,   6.4,    0.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   1,   35,   64),  18.5 :  -178.4,   6.6,    0.0
    DCM mini2b-3MIV (latest)                            :    100 (   1,   47,   52),  24.5 :  -172.6,   6.8,    0.0
    DCM mini-YkKk (latest)                              :    100 (   0,   59,   41),  29.5 :  -149.4,   7.1,    0.0
    DCM T97X (latest)                                   :    100 (   7,   73,   20),  43.5 :   -25.6,   6.7,    0.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (  13,   54,   33),  40.0 :   -22.2,   6.6,    0.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (  44,   50,    6),  69.0 :   +11.8,   7.2,   95.0
    DCM q2Bb-tanh (latest)                              :    100 (  35,   63,    2),  66.5 :   +22.9,   8.2,   99.7
    DCM q2Bb-clamp (latest)                             :    100 (  39,   59,    2),  68.5 :   +23.2,   6.9,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (  37,   61,    2),  67.5 :   +25.4,   7.3,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (  39,   61,    0),  69.5 :   +88.4,   7.3,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (  49,   50,    1),  74.0 :   +89.7,   7.4,  100.0
    DCM freshNet (latest)                               :    100 (  29,   71,    0),  64.5 :   +89.7,   6.8,  100.0

32) DCM Exp2 - full10ply200 + 7x7                 144.2 :   3600 (+230,=1183,-2187),  22.8 %

    vs.                                                 :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (   0,    0,  100),   0.0 : -1175.8,  28.5,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   0,   13,   87),   6.5 :  -461.7,   7.7,    0.0
    DCM v5                                              :    100 (   0,   13,   87),   6.5 :  -459.6,   7.4,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   0,   12,   88),   6.0 :  -444.3,   7.4,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   0,   16,   84),   8.0 :  -432.8,   6.6,    0.0
    DCM Qeu8 (latest)                                   :    100 (   0,    8,   92),   4.0 :  -422.9,   7.3,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   1,   19,   80),  10.5 :  -417.7,   6.6,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   1,   16,   83),   9.0 :  -391.3,   6.6,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   0,   19,   81),   9.5 :  -390.1,   7.2,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   0,   20,   80),  10.0 :  -387.8,   6.3,    0.0
    DCM - Qeu8e5                                        :    100 (   0,   16,   84),   8.0 :  -383.9,   6.6,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   0,   14,   86),   7.0 :  -381.4,   6.9,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   0,   14,   86),   7.0 :  -380.9,   6.7,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (   0,   27,   73),  13.5 :  -374.2,   7.2,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   0,   17,   83),   8.5 :  -371.2,   7.7,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (   0,   23,   77),  11.5 :  -362.9,   7.7,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (   0,   23,   77),  11.5 :  -355.4,   6.3,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (   0,   26,   74),  13.0 :  -354.9,   7.3,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   0,   35,   65),  17.5 :  -328.7,   6.7,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (   0,   31,   69),  15.5 :  -318.6,   7.2,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 (   0,   25,   75),  12.5 :  -303.5,   6.5,    0.0
    DCM Qeu8e (latest)                                  :    100 (   0,   45,   55),  22.5 :  -237.8,   6.0,    0.0
    DCM mini-YkKk-resume (latest)                       :    100 (   1,   31,   68),  16.5 :  -231.8,   7.4,    0.0
    DCM v3_8block_3x3 (latest)                          :    100 (   0,   38,   62),  19.0 :  -229.9,   6.8,    0.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   0,   44,   56),  22.0 :  -190.2,   5.8,    0.0
    DCM mini2b-3MIV (latest)                            :    100 (   0,   59,   41),  29.5 :  -184.4,   6.6,    0.0
    DCM mini-YkKk (latest)                              :    100 (   0,   56,   44),  28.0 :  -161.2,   6.8,    0.0
    DCM T97X (latest)                                   :    100 (   4,   59,   37),  33.5 :   -37.4,   6.9,    0.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   3,   41,   56),  23.5 :   -34.0,   6.6,    0.0
    DCM uni16-9x9stem (latest)                          :    100 (   6,   50,   44),  31.0 :   -11.8,   7.2,    5.0
    DCM q2Bb-tanh (latest)                              :    100 (  35,   60,    5),  65.0 :   +11.1,   8.4,   90.7
    DCM q2Bb-clamp (latest)                             :    100 (  29,   66,    5),  62.0 :   +11.4,   7.4,   93.8
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (  27,   72,    1),  63.0 :   +13.6,   7.4,   96.8
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (  25,   75,    0),  62.5 :   +76.6,   6.9,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (  68,   30,    2),  83.0 :   +77.9,   8.1,  100.0
    DCM freshNet (latest)                               :    100 (  30,   70,    0),  65.0 :   +77.9,   7.6,  100.0

33) DCM q2Bb-tanh (latest)                        133.1 :   3600 (+95,=1386,-2119),  21.9 %

    vs.                                                 :  games (  +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (  0,    0,  100),   0.0 : -1186.9,  28.3,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (  0,   18,   82),   9.0 :  -472.8,   8.4,    0.0
    DCM v5                                              :    100 (  0,   19,   81),   9.5 :  -470.7,   8.4,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (  0,   18,   82),   9.0 :  -455.3,   9.0,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (  0,   19,   81),   9.5 :  -443.9,   8.4,    0.0
    DCM Qeu8 (latest)                                   :    100 (  0,   23,   77),  11.5 :  -434.0,   8.5,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (  0,   15,   85),   7.5 :  -428.7,   8.5,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (  0,   16,   84),   8.0 :  -402.4,   8.5,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (  0,   26,   74),  13.0 :  -401.2,   8.6,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (  0,   18,   82),   9.0 :  -398.9,   9.0,    0.0
    DCM - Qeu8e5                                        :    100 (  0,   30,   70),  15.0 :  -395.0,   8.2,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (  0,   23,   77),  11.5 :  -392.5,   8.2,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (  0,   15,   85),   7.5 :  -391.9,   8.1,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (  1,   16,   83),   9.0 :  -385.3,   8.9,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (  0,   36,   64),  18.0 :  -382.3,   8.9,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (  0,   19,   81),   9.5 :  -374.0,   8.4,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (  1,   22,   77),  12.0 :  -366.4,   8.7,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (  0,   31,   69),  15.5 :  -366.0,   8.2,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (  0,   39,   61),  19.5 :  -339.8,   8.4,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (  0,   46,   54),  23.0 :  -329.7,   8.5,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 (  0,   26,   74),  13.0 :  -314.6,   8.6,    0.0
    DCM Qeu8e (latest)                                  :    100 (  0,   49,   51),  24.5 :  -248.9,   8.1,    0.0
    DCM mini-YkKk-resume (latest)                       :    100 (  0,   27,   73),  13.5 :  -242.9,   8.6,    0.0
    DCM v3_8block_3x3 (latest)                          :    100 (  0,   42,   58),  21.0 :  -241.0,   8.1,    0.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (  1,   44,   55),  23.0 :  -201.3,   8.2,    0.0
    DCM mini2b-3MIV (latest)                            :    100 (  0,   47,   53),  23.5 :  -195.5,   8.7,    0.0
    DCM mini-YkKk (latest)                              :    100 (  0,   61,   39),  30.5 :  -172.3,   9.0,    0.0
    DCM T97X (latest)                                   :    100 (  0,   70,   30),  35.0 :   -48.5,   7.9,    0.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (  1,   59,   40),  30.5 :   -45.1,   8.3,    0.0
    DCM uni16-9x9stem (latest)                          :    100 (  2,   63,   35),  33.5 :   -22.9,   8.2,    0.3
    DCM Exp2 - full10ply200 + 7x7                       :    100 (  5,   60,   35),  35.0 :   -11.1,   8.4,    9.3
    DCM q2Bb-clamp (latest)                             :    100 (  7,   84,    9),  49.0 :    +0.3,   8.4,   51.6
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 ( 12,   74,   14),  49.0 :    +2.5,   8.7,   61.4
    DCM q2Bb-tanhSqrtN (latest)                         :    100 ( 26,   73,    1),  62.5 :   +65.5,   8.8,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 ( 21,   77,    2),  59.5 :   +66.8,   8.3,  100.0
    DCM freshNet (latest)                               :    100 ( 18,   81,    1),  58.5 :   +66.8,   7.9,  100.0

34) DCM q2Bb-clamp (latest)                       132.8 :   3600 (+67,=1440,-2093),  21.9 %

    vs.                                                 :  games (  +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (  0,    0,  100),   0.0 : -1187.2,  27.5,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (  0,   17,   83),   8.5 :  -473.1,   8.0,    0.0
    DCM v5                                              :    100 (  0,   10,   90),   5.0 :  -471.0,   7.5,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (  1,   18,   81),  10.0 :  -455.7,   8.0,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (  0,   22,   78),  11.0 :  -444.2,   7.3,    0.0
    DCM Qeu8 (latest)                                   :    100 (  0,   16,   84),   8.0 :  -434.3,   7.9,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (  0,   22,   78),  11.0 :  -429.1,   7.4,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (  0,   29,   71),  14.5 :  -402.8,   6.7,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (  0,   24,   76),  12.0 :  -401.5,   7.2,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (  0,   17,   83),   8.5 :  -399.2,   7.3,    0.0
    DCM - Qeu8e5                                        :    100 (  0,   28,   72),  14.0 :  -395.3,   6.9,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (  0,   17,   83),   8.5 :  -392.8,   7.1,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (  0,   26,   74),  13.0 :  -392.3,   6.6,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (  0,   26,   74),  13.0 :  -385.6,   7.2,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (  0,   24,   76),  12.0 :  -382.6,   7.3,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (  1,   28,   71),  15.0 :  -374.3,   6.8,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (  0,   22,   78),  11.0 :  -366.8,   6.9,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (  0,   26,   74),  13.0 :  -366.3,   7.4,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (  1,   30,   69),  16.0 :  -340.1,   7.5,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (  0,   33,   67),  16.5 :  -330.1,   7.4,    0.0
